,RunId,iteration,Step,width,height,visibility,wind,temperature,drone,path,AgentID,battery_drone,position_drone_x,position_drone_y,position_person_x,position_person_y
0,0,0,0,100,100,500,10,20,4,False,1,1.0,1.0,1.0,12.0,81.0
1,0,0,0,100,100,500,10,20,4,False,2,1.0,1.0,1.0,12.0,81.0
2,0,0,1,100,100,500,10,20,4,False,1,0.999593,1.0,1.834,12.037,80.963
3,0,0,1,100,100,500,10,20,4,False,2,0.999593,1.0,1.834,12.037,80.963
4,0,0,2,100,100,500,10,20,4,False,1,0.9991859999999999,1.0,2.668,12.037,80.92099999999999
5,0,0,2,100,100,500,10,20,4,False,2,0.9991859999999999,1.0,2.668,12.037,80.92099999999999
6,0,0,3,100,100,500,10,20,4,False,1,0.9987789999999999,1.0,3.5020000000000002,12.0,80.92099999999999
7,0,0,3,100,100,500,10,20,4,False,2,0.9987789999999999,1.0,3.5020000000000002,12.0,80.92099999999999
8,0,0,4,100,100,500,10,20,4,False,1,0.9983719999999998,1.0,4.336,11.963,80.92099999999999
9,0,0,4,100,100,500,10,20,4,False,2,0.9983719999999998,1.0,4.336,11.963,80.92099999999999
10,0,0,5,100,100,500,10,20,4,False,1,0.9978949999999998,1.0,5.17,11.921,80.92099999999999
11,0,0,5,100,100,500,10,20,4,False,2,0.9978949999999998,1.0,5.17,11.921,80.92099999999999
12,0,0,6,100,100,500,10,20,4,False,1,0.9974079999999997,1.0,6.004,11.883999999999999,80.958
13,0,0,6,100,100,500,10,20,4,False,2,0.9974079999999997,1.0,6.004,11.883999999999999,80.958
14,0,0,7,100,100,500,10,20,4,False,1,0.9970009999999997,1.0,6.837999999999999,11.846999999999998,80.958
15,0,0,7,100,100,500,10,20,4,False,2,0.9970009999999997,1.0,6.837999999999999,11.846999999999998,80.958
16,0,0,8,100,100,500,10,20,4,False,1,0.9965939999999996,1.0,7.671999999999999,11.883999999999999,80.995
17,0,0,8,100,100,500,10,20,4,False,2,0.9965939999999996,1.0,7.671999999999999,11.883999999999999,80.995
18,0,0,9,100,100,500,10,20,4,False,1,0.9961869999999996,1.0,8.505999999999998,11.883999999999999,81.03200000000001
19,0,0,9,100,100,500,10,20,4,False,2,0.9961869999999996,1.0,8.505999999999998,11.883999999999999,81.03200000000001
20,0,0,10,100,100,500,10,20,4,False,1,0.9957799999999996,1.0,9.339999999999998,11.925999999999998,81.03200000000001
21,0,0,10,100,100,500,10,20,4,False,2,0.9957799999999996,1.0,9.339999999999998,11.925999999999998,81.03200000000001
22,0,0,11,100,100,500,10,20,4,False,1,0.9953429999999995,1.0,10.173999999999998,11.888999999999998,81.03200000000001
23,0,0,11,100,100,500,10,20,4,False,2,0.9953429999999995,1.0,10.173999999999998,11.888999999999998,81.03200000000001
24,0,0,12,100,100,500,10,20,4,False,1,0.9948659999999995,1.0,11.007999999999997,11.925999999999998,81.06900000000002
25,0,0,12,100,100,500,10,20,4,False,2,0.9948659999999995,1.0,11.007999999999997,11.925999999999998,81.06900000000002
26,0,0,13,100,100,500,10,20,4,False,1,0.9944589999999994,1.0,11.841999999999997,11.925999999999998,81.06900000000002
27,0,0,13,100,100,500,10,20,4,False,2,0.9944589999999994,1.0,11.841999999999997,11.925999999999998,81.06900000000002
28,0,0,14,100,100,500,10,20,4,False,1,0.9939519999999994,1.0,12.675999999999997,11.888999999999998,81.06900000000002
29,0,0,14,100,100,500,10,20,4,False,2,0.9939519999999994,1.0,12.675999999999997,11.888999999999998,81.06900000000002
30,0,0,15,100,100,500,10,20,4,False,1,0.9934949999999994,1.0,13.509999999999996,11.888999999999998,81.03200000000001
31,0,0,15,100,100,500,10,20,4,False,2,0.9934949999999994,1.0,13.509999999999996,11.888999999999998,81.03200000000001
32,0,0,16,100,100,500,10,20,4,False,1,0.9930379999999993,1.0,14.343999999999996,11.851999999999997,80.995
33,0,0,16,100,100,500,10,20,4,False,2,0.9930379999999993,1.0,14.343999999999996,11.851999999999997,80.995
34,0,0,17,100,100,500,10,20,4,False,1,0.9926009999999993,1.0,15.177999999999995,11.851999999999997,81.022
35,0,0,17,100,100,500,10,20,4,False,2,0.9926009999999993,1.0,15.177999999999995,11.851999999999997,81.022
36,0,0,18,100,100,500,10,20,4,False,1,0.9921739999999992,1.0,16.011999999999997,11.809999999999997,80.98
37,0,0,18,100,100,500,10,20,4,False,2,0.9921739999999992,1.0,16.011999999999997,11.809999999999997,80.98
38,0,0,19,100,100,500,10,20,4,False,1,0.9917669999999992,1.0,16.845999999999997,11.809999999999997,80.953
39,0,0,19,100,100,500,10,20,4,False,2,0.9917669999999992,1.0,16.845999999999997,11.809999999999997,80.953
40,0,0,20,100,100,500,10,20,4,False,1,0.9913599999999991,1.0,17.679999999999996,11.846999999999998,80.916
41,0,0,20,100,100,500,10,20,4,False,2,0.9913599999999991,1.0,17.679999999999996,11.846999999999998,80.916
42,0,0,21,100,100,500,10,20,4,False,1,0.9909529999999991,1.0,18.513999999999996,11.809999999999997,80.916
43,0,0,21,100,100,500,10,20,4,False,2,0.9909529999999991,1.0,18.513999999999996,11.809999999999997,80.916
44,0,0,22,100,100,500,10,20,4,False,1,0.990545999999999,1.0,19.347999999999995,11.846999999999998,80.953
45,0,0,22,100,100,500,10,20,4,False,2,0.990545999999999,1.0,19.347999999999995,11.846999999999998,80.953
46,0,0,23,100,100,500,10,20,4,False,1,0.990138999999999,1.0,20.181999999999995,11.809999999999997,80.99000000000001
47,0,0,23,100,100,500,10,20,4,False,2,0.990138999999999,1.0,20.181999999999995,11.809999999999997,80.99000000000001
